Gender,Married,Dependents,Education,Self Employed,Property Area,Home Ownership,Loan Purpose,Age,Applicant Income($),Coapplicant Income($),Loan Amount($000),Loan Term(months),Credit History,Credit Score,Employment Years,Existing Loans,Loan Approved
Female,Yes,2,Graduate,No,Rural,Own,Home,68,7778,354,150,360,1,634,19,1,0
Male,Yes,3+,Graduate,No,Semiurban,Mortgage,Home,52,4151,1821,207,360,1,750,2,1,1
Female,No,0,Not Graduate,No,Semiurban,Own,Education,22,7829,0,83,360,1,713,13,1,1
Female,No,0,Graduate,No,Urban,Own,Home,27,6051,827,88,360,1,674,10,1,1
Male,No,1,Graduate,Yes,Semiurban,Mortgage,Home,54,8273,1894,185,360,0,626,15,2,0
Female,No,0,Graduate,No,Semiurban,Mortgage,Education,52,7437,1299,106,240,1,592,25,2,0
Female,No,1,Graduate,No,Semiurban,Mortgage,Personal,38,4628,1405,121,360,0,570,23,2,0
Female,Yes,1,Graduate,No,Urban,Mortgage,Car,52,10852,0,168,360,0,817,15,3,1
Male,No,2,Graduate,No,Rural,Mortgage,Car,38,3086,1233,35,240,1,711,1,0,1
Male,No,0,Not Graduate,No,Urban,Mortgage,Education,43,1200,281,205,300,1,778,33,1,0
Male,Yes,0,Not Graduate,No,Rural,Rent,Car,29,1200,1787,99,300,0,705,18,1,0
Female,Yes,2,Graduate,No,Rural,Mortgage,Debt Consolidation,67,6557,1946,281,360,1,707,3,0,1
Female,No,0,Not Graduate,Yes,Urban,Mortgage,Personal,51,1200,845,276,360,1,676,14,0,0
Female,No,1,Graduate,No,Semiurban,Rent,Car,34,3752,0,244,360,1,656,4,0,1
Male,Yes,0,Graduate,Yes,Semiurban,Mortgage,Home,53,8311,0,92,180,1,583,6,0,0
Male,No,0,Graduate,No,Rural,Rent,Home,49,1200,0,72,360,1,629,22,1,0
Female,Yes,1,Graduate,No,Rural,Mortgage,Personal,34,4773,1683,129,180,1,549,34,1,0
Male,Yes,0,Graduate,No,Semiurban,Mortgage,Education,27,5204,0,205,240,1,591,9,3,0
Female,No,2,Graduate,No,Rural,Mortgage,Home,54,1394,45,203,360,1,692,1,1,0
Female,Yes,1,Graduate,No,Urban,Mortgage,Business,39,6057,1105,133,360,1,651,19,0,1
Female,No,2,Graduate,No,Urban,Rent,Business,33,4896,639,20,180,1,683,8,2,1
Male,No,2,Graduate,Yes,Semiurban,Mortgage,Car,33,6996,0,156,240,1,792,15,1,1
Female,No,0,Graduate,No,Rural,Own,Home,28,5266,1862,37,360,0,750,19,0,1
Female,Yes,0,Not Graduate,No,Urban,Rent,Business,55,4128,1832,165,360,0,710,24,0,0
Female,No,2,Graduate,No,Rural,Mortgage,Business,67,6340,1273,144,360,1,579,27,1,0
Male,No,0,Not Graduate,No,Urban,Rent,Education,58,8701,393,74,300,1,594,13,3,0
Male,Yes,0,Not Graduate,Yes,Urban,Mortgage,Debt Consolidation,31,8988,1302,270,240,1,633,5,0,0
Male,No,0,Graduate,No,Rural,Rent,Car,63,6956,321,151,360,1,625,21,3,0
Male,Yes,1,Graduate,No,Semiurban,Mortgage,Education,44,7535,48,195,360,1,515,18,0,0
Female,Yes,0,Not Graduate,No,Semiurban,Rent,Business,33,3691,1267,220,360,1,819,11,1,1
Female,Yes,0,Not Graduate,No,Rural,Mortgage,Business,42,4717,2890,92,240,1,709,2,0,1
Female,Yes,1,Not Graduate,No,Semiurban,Rent,Personal,52,6618,1,164,300,1,741,22,1,1
Male,Yes,2,Not Graduate,No,Urban,Rent,Home,53,6040,1020,45,120,1,658,4,0,0
Male,No,0,Graduate,Yes,Semiurban,Own,Personal,45,6987,525,138,240,1,714,32,0,1
Male,Yes,2,Graduate,No,Rural,Rent,Home,43,9149,662,95,120,1,680,4,0,1
Male,Yes,1,Not Graduate,No,Urban,Rent,Home,47,5098,4200,139,360,1,776,0,0,1
Male,Yes,0,Graduate,No,Urban,Mortgage,Personal,57,1551,2065,135,300,1,751,24,3,1
Male,Yes,0,Graduate,No,Rural,Rent,Car,32,3083,1492,90,360,0,667,16,0,0
Male,Yes,0,Graduate,No,Semiurban,Mortgage,Personal,34,5941,3094,210,300,1,569,7,2,0
Female,Yes,0,Not Graduate,Yes,Urban,Rent,Personal,55,4431,2167,181,180,0,587,2,0,0
Male,No,2,Not Graduate,No,Semiurban,Mortgage,Business,56,2207,1275,138,360,1,646,32,1,0
Female,Yes,0,Graduate,No,Rural,Mortgage,Home,51,5288,1703,324,360,1,698,6,0,1
Female,Yes,3+,Graduate,No,Urban,Mortgage,Education,58,3477,1777,66,360,1,588,19,0,0
Male,Yes,0,Graduate,No,Urban,Rent,Personal,65,6922,161,58,360,1,664,29,1,1
Female,No,0,Graduate,No,Semiurban,Rent,Home,39,9351,331,248,360,1,773,23,1,1
Female,Yes,1,Not Graduate,No,Semiurban,Mortgage,Education,50,8434,963,209,360,1,763,7,1,1
Male,Yes,2,Graduate,Yes,Urban,Rent,Home,63,2988,3816,226,240,1,658,29,1,0
Male,Yes,0,Not Graduate,No,Semiurban,Mortgage,Home,55,3783,364,247,360,1,688,9,1,0
Female,Yes,0,Graduate,No,Semiurban,Own,Education,29,1398,4151,243,300,1,791,14,1,1
Male,Yes,1,Not Graduate,No,Semiurban,Own,Car,37,8312,665,89,360,1,808,12,0,1
Male,No,0,Graduate,No,Semiurban,Rent,Personal,50,5758,0,136,120,1,716,17,1,1
Male,No,1,Not Graduate,No,Urban,Own,Education,30,9556,1565,196,360,0,762,27,2,1
Female,Yes,2,Graduate,No,Urban,Mortgage,Personal,57,6982,2370,53,180,0,766,8,0,1
Female,Yes,0,Not Graduate,No,Rural,Own,Business,67,4241,983,97,360,0,670,27,2,0
Female,Yes,2,Not Graduate,No,Semiurban,Mortgage,Debt Consolidation,49,1200,633,271,360,1,640,33,0,0
Female,No,0,Graduate,No,Semiurban,Rent,Car,50,6196,1146,64,360,1,764,20,1,1
Male,No,2,Not Graduate,No,Semiurban,Own,Personal,54,10876,50,181,360,1,805,13,1,1
Female,No,3+,Graduate,No,Urban,Rent,Home,44,7618,1001,150,300,1,638,13,0,0
Male,Yes,1,Graduate,No,Rural,Rent,Personal,55,5067,3010,178,300,1,630,5,0,0
Male,Yes,3+,Graduate,No,Rural,Rent,Personal,69,7593,2468,59,360,1,645,13,0,1
Female,Yes,2,Graduate,No,Urban,Mortgage,Personal,36,7302,5755,181,360,1,537,34,1,0
Male,Yes,0,Not Graduate,Yes,Urban,Rent,Car,33,8699,581,27,300,0,545,33,2,0
Female,Yes,0,Not Graduate,No,Urban,Rent,Home,44,3179,1826,123,180,0,563,11,1,0
Female,No,0,Graduate,No,Urban,Own,Personal,55,6531,0,137,300,1,671,33,2,0
Female,Yes,1,Graduate,No,Semiurban,Mortgage,Business,57,1533,2794,162,300,0,642,21,2,0
Female,Yes,1,Graduate,No,Urban,Mortgage,Education,32,1200,464,231,360,1,634,31,1,0
Female,No,1,Graduate,No,Semiurban,Mortgage,Car,67,7224,188,85,300,1,668,33,1,1
Male,Yes,1,Not Graduate,No,Semiurban,Own,Home,42,8644,744,210,120,1,804,25,0,1
Male,No,0,Graduate,No,Urban,Rent,Business,44,5410,1036,245,180,1,708,31,1,1
Male,No,0,Graduate,No,Urban,Rent,Education,39,5169,118,95,180,0,681,25,2,0
Male,Yes,0,Graduate,No,Urban,Own,Debt Consolidation,22,6309,782,30,180,0,735,5,0,1
Male,Yes,3+,Graduate,No,Semiurban,Mortgage,Business,57,8403,2610,123,240,1,623,32,1,1
Female,No,0,Graduate,Yes,Semiurban,Rent,Debt Consolidation,43,7730,0,227,240,1,685,6,0,1
Male,Yes,0,Graduate,No,Urban,Rent,Home,43,6254,885,234,360,1,617,8,0,0
Male,No,0,Graduate,No,Urban,Own,Business,46,7188,639,96,180,1,529,32,0,0
Male,Yes,3+,Not Graduate,No,Rural,Mortgage,Personal,37,7535,2441,157,120,1,664,18,0,1
Male,Yes,0,Graduate,No,Semiurban,Own,Business,27,2610,0,197,360,1,681,8,1,0
Female,No,1,Not Graduate,No,Semiurban,Mortgage,Business,35,6796,1312,216,360,0,647,33,2,0
Female,Yes,0,Graduate,No,Semiurban,Mortgage,Home,47,2052,292,198,240,1,784,21,0,1
Female,Yes,0,Graduate,No,Urban,Own,Car,62,8199,4422,245,360,1,693,0,1,1
Female,Yes,2,Graduate,No,Semiurban,Rent,Business,42,7603,735,202,360,1,738,10,1,1
Male,No,1,Graduate,No,Semiurban,Mortgage,Education,31,5559,113,143,180,0,576,8,0,0
Female,No,1,Not Graduate,No,Urban,Mortgage,Personal,34,4919,0,164,360,1,787,8,1,1
Male,Yes,0,Not Graduate,No,Urban,Own,Personal,43,8390,2940,162,360,1,726,19,3,1
Male,Yes,3+,Graduate,No,Semiurban,Mortgage,Education,65,6112,844,194,240,1,826,1,1,1
Male,Yes,1,Graduate,No,Urban,Rent,Business,41,6070,2331,46,360,1,785,18,1,1
Female,Yes,3+,Graduate,Yes,Rural,Mortgage,Business,33,6270,2533,105,360,0,528,16,0,0
Male,Yes,0,Graduate,No,Semiurban,Own,Business,44,6463,0,171,180,0,590,30,1,0
Male,No,0,Graduate,No,Rural,Own,Business,65,8440,298,207,180,1,597,20,1,1
Male,Yes,0,Graduate,No,Urban,Mortgage,Education,53,1216,1158,212,240,1,702,29,0,0
Male,Yes,2,Graduate,No,Semiurban,Mortgage,Home,56,5101,10,20,360,1,772,33,2,1
Female,No,2,Graduate,No,Urban,Rent,Debt Consolidation,64,1200,352,231,300,1,668,19,0,0
Male,No,1,Graduate,Yes,Rural,Rent,Home,22,6442,0,156,360,1,715,32,1,1
Male,Yes,0,Graduate,No,Semiurban,Own,Home,28,3733,3398,40,360,1,610,2,0,1
Male,Yes,0,Graduate,Yes,Semiurban,Mortgage,Debt Consolidation,32,5771,2892,99,180,1,631,15,2,0
Female,Yes,0,Not Graduate,Yes,Urban,Mortgage,Education,56,3392,0,33,240,1,725,4,1,1
Male,No,2,Graduate,No,Semiurban,Mortgage,Personal,31,3272,0,170,300,1,768,14,0,1
Male,Yes,0,Graduate,No,Semiurban,Rent,Car,28,4269,109,119,180,1,734,6,1,1
Male,No,0,Graduate,No,Urban,Mortgage,Education,41,5612,0,111,360,1,631,33,0,1
Female,No,0,Graduate,Yes,Rural,Own,Business,21,7184,19,304,360,1,625,12,0,0
Female,Yes,0,Graduate,Yes,Semiurban,Mortgage,Education,64,3483,4875,186,240,1,633,33,1,0
Female,Yes,3+,Not Graduate,No,Semiurban,Mortgage,Debt Consolidation,21,5759,320,217,240,1,703,2,0,1
Male,Yes,0,Graduate,No,Urban,Rent,Business,28,6453,6239,130,240,1,828,21,1,1
Female,Yes,3+,Not Graduate,No,Semiurban,Rent,Education,64,4125,3710,149,360,1,674,10,1,1
Female,Yes,1,Not Graduate,No,Urban,Rent,Personal,69,6386,4998,141,360,0,696,16,0,0
Female,No,1,Graduate,No,Semiurban,Rent,Education,62,2028,72,213,240,1,776,29,0,1
Male,No,1,Graduate,No,Rural,Mortgage,Car,45,3050,1903,213,360,1,737,16,1,1
Male,Yes,1,Not Graduate,Yes,Urban,Own,Home,36,8154,564,155,360,1,747,2,1,1
Male,Yes,1,Not Graduate,No,Rural,Rent,Car,65,1200,4321,86,360,1,690,19,2,1
Female,No,0,Not Graduate,No,Rural,Own,Business,52,4516,573,242,180,1,724,34,2,1
Male,No,3+,Graduate,No,Urban,Rent,Debt Consolidation,22,5580,0,155,180,1,705,3,0,1
Male,No,0,Not Graduate,No,Urban,Mortgage,Personal,28,6034,836,20,360,0,562,28,0,0
Male,No,0,Graduate,No,Rural,Mortgage,Business,64,6133,210,320,360,1,605,23,1,0
Female,Yes,0,Graduate,No,Rural,Rent,Home,57,4823,1728,172,180,1,654,7,1,1
Male,No,1,Graduate,No,Urban,Rent,Business,24,4412,0,153,360,1,630,15,0,1
Female,Yes,0,Graduate,Yes,Rural,Rent,Education,69,3194,2612,20,360,1,630,12,1,0
Female,Yes,0,Graduate,No,Urban,Rent,Personal,48,9421,2227,203,360,1,850,17,3,1
Female,Yes,0,Graduate,No,Urban,Own,Car,67,7399,4212,49,360,1,716,34,2,1
Male,Yes,0,Graduate,No,Rural,Rent,Education,68,6161,3050,272,360,1,792,15,0,1
Female,No,0,Not Graduate,No,Urban,Rent,Education,52,5217,2094,20,360,1,498,22,0,0
Female,No,2,Not Graduate,No,Rural,Mortgage,Car,23,3846,362,205,360,1,837,0,0,1
Female,No,0,Not Graduate,No,Urban,Rent,Business,42,5270,263,253,360,1,597,26,1,0
Male,No,3+,Not Graduate,No,Urban,Rent,Car,64,2886,0,163,300,1,825,7,0,1
Male,No,1,Not Graduate,No,Rural,Rent,Home,38,8962,0,155,240,1,640,11,1,1
Male,No,2,Not Graduate,No,Urban,Own,Home,36,3110,0,168,300,1,593,11,0,0
Male,No,3+,Graduate,Yes,Semiurban,Own,Education,34,2148,0,23,240,0,740,32,1,0
Male,No,0,Graduate,No,Rural,Own,Home,53,13134,1027,107,360,1,574,6,1,0
Male,Yes,1,Not Graduate,Yes,Rural,Rent,Car,25,5028,2253,166,180,1,670,10,0,1
